row, item_id, item_link, brand, product_name, price, shipping, total, score, total_ratings
47,N82E16813130997,https://www.newegg.com/Product/Product.aspx?Item=N82E16813130997,MSI,MSI Z270 GAMING PLUS LGA 1151 Intel Z270 SATA 6Gb/s USB 3.1 ATX Intel Motherboard,124,1.99,126.97999999999999,0,0

48,N82E16813119046,https://www.newegg.com/Product/Product.aspx?Item=N82E16813119046,ASUS,ASUS ROG Maximus X Formula LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,349,0.99,350.98,0,0

49,N82E16813144111,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144111,MSI,MSI Z370 SLI PLUS LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,146,0,146.99,0,0

50,N82E16813157818,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157818,ASRock,ASRock B360 Pro4 LGA 1151 (300 Series) Intel B360 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,84,3.99,88.97999999999999,0,0

51,N82E16813157814,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157814,ASRock,ASRock H310M-ITX/ac LGA 1151 (300 Series) Intel H310 HDMI SATA 6Gb/s USB 3.1 Mini ITX Intel Motherboard,78,3.99,82.97999999999999,0,0

52,N82E16813157795,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157795,ASRock,ASRock Z370M-ITX/ac LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 Mini ITX Intel Motherboard,134,1.99,136.98000000000002,0,0

53,N82E16813157820,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157820,ASRock,ASRock B360M Pro4 LGA 1151 (300 Series) Intel B360 HDMI SATA 6Gb/s USB 3.1 Micro ATX Intel Motherboard,77,3.99,81.97999999999999,0,0

54,N82E16813157794,https://www.newegg.com/Product/Product.aspx?Item=N82E16813157794,ASRock,ASRock Fatal1ty Z370 Gaming-ITX/ac LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 Mini ITX Intel Motherboard,164,3.99,168.98000000000002,0,0

55,N82E16813119037,https://www.newegg.com/Product/Product.aspx?Item=N82E16813119037,ASUS,ASUS TUF Z370 Plus Gaming LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,139,0.99,140.98000000000002,0,0

56,N82E16813119079,https://www.newegg.com/Product/Product.aspx?Item=N82E16813119079,ASUS,ASUS ROG STRIX B360-G GAMING LGA1151 (300 Series) DDR4 HDMI DVI M.2 Micro-ATX Motherboard,103,0.99,104.97999999999999,0,0

57,N82E16813144159,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144159,MSI,MSI B360M MORTAR LGA 1151 (300 Series) Intel B360 HDMI SATA 6Gb/s Micro ATX Intel Motherboard,89,3.99,93.97999999999999,0,0

58,N82E16813144116,https://www.newegg.com/Product/Product.aspx?Item=N82E16813144116,MSI,MSI Z370I GAMING PRO CARBON AC LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 Mini ITX Intel Motherboard,170,2.99,173.98000000000002,0,0

59,N82E16813145043,https://www.newegg.com/Product/Product.aspx?Item=N82E16813145043,GIGABYTE,GIGABYTE Z370 AORUS GAMING WIFI (rev. 1.0) LGA 1151 (300 Series) Intel Z370 HDMI SATA 6Gb/s USB 3.1 ATX Intel Motherboard,139,0,139.99,0,0

60,N82E16813132990,https://www.newegg.com/Product/Product.aspx?Item=N82E16813132990,ASUS,ASUS Prime X299-Deluxe LGA 2066 Intel X299 SATA 6Gb/s USB 3.1 ATX Intel Motherboard,445,1.99,447.98,0,0

0,N82E16814125955,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125955,GIGABYTE,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMING OC-11GD 11GB 352-Bit GDDR5X PCI Express 3.0 x16 ATX Video Card,729,4.99,734.98,0,0

1,N82E16814487338,https://www.newegg.com/Product/Product.aspx?Item=N82E16814487338,EVGA,EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11G-P4-6696-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,729,4.99,734.98,0,0

2,N82E16814125914,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125914,GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,189,4.99,194.98000000000002,0,0

3,N82E16814932012,https://www.newegg.com/Product/Product.aspx?Item=N82E16814932012,GIGABYTE,GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TWF2-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,459,4.99,464.98,0,0

4,N82E16814137258,https://www.newegg.com/Product/Product.aspx?Item=N82E16814137258,MSI,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti DUKE 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,459,0,459.99,0,0

5,N82E16814126226,https://www.newegg.com/Product/Product.aspx?Item=N82E16814126226,ASUS,ASUS GeForce GTX 1070 Ti TURBO-GTX1070TI-8G 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,489,4.99,494.98,0,0

6,N82E16814487275,https://www.newegg.com/Product/Product.aspx?Item=N82E16814487275,EVGA,EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC), 06G-P4-6267-KR,309,4.99,314.98,0,0

7,N82E16814125916,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125916,GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,179,4.99,184.98000000000002,0,0

8,N82E16814137308,https://www.newegg.com/Product/Product.aspx?Item=N82E16814137308,MSI,MSI Radeon RX 560 DirectX 12 Radeon RX 560 4GT LP OC 4GB 128-Bit GDDR5 PCI Express x16 (Uses x8) HDCP Ready CrossFireX Support Low Profile Video Card,124,4.99,129.98,0,0

9,N82E16814125902,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125902,GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-3GD 2.0 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,249,4.99,254.98000000000002,0,0

10,N82E16814125936,https://www.newegg.com/Product/Product.aspx?Item=N82E16814125936,GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080D5X-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Cards,474,0,474.99,0,0

